1    #UTIL: 781
1 5 0 1 3 0 1 4    #UTIL: 330
1 5 0 1 3 0 1 4 5    #UTIL: 214
1 5 0 1 3 0 1 5    #UTIL: 160
1 5 0 1 3 0 1 5 4    #UTIL: 85
1 5 0 1 3 0 4    #UTIL: 290
1 5 0 1 3 0 4 5    #UTIL: 190
1 5 0 1 3 0 5    #UTIL: 236
1 5 0 1 3 0 5 4    #UTIL: 73
1 5 0 1 4    #UTIL: 299
1 5 0 1 4 5    #UTIL: 232
1 5 0 1 0 4    #UTIL: 273
1 5 0 1 0 4 5    #UTIL: 214
1 5 0 1 5    #UTIL: 151
1 5 0 1 5 4    #UTIL: 55
1 5 0 1 0 5    #UTIL: 201
1 5 0 1 0 5 4    #UTIL: 49
1 5 0 2    #UTIL: 560
1 5 0 2 0 1    #UTIL: 228
1 5 0 2 0 1 4    #UTIL: 336
1 5 0 2 0 1 4 5    #UTIL: 246
1 5 0 2 0 1 5    #UTIL: 174
1 5 0 2 0 1 5 4    #UTIL: 46
1 5 0 2 3    #UTIL: 299
1 5 0 2 3 0 1    #UTIL: 243
1 5 0 2 3 0 1 4    #UTIL: 324
1 5 0 2 3 0 1 4 5    #UTIL: 193
1 5 0 2 3 0 1 5    #UTIL: 148
1 5 0 2 3 0 1 5 4    #UTIL: 62
1 5 0 2 3 0 4    #UTIL: 288
1 5 0 2 3 0 4 5    #UTIL: 173
1 5 0 2 3 0 5    #UTIL: 240
1 5 0 2 3 0 5 4    #UTIL: 54
1 5 0 2 0 4    #UTIL: 288
1 5 0 2 0 4 5    #UTIL: 214
1 5 0 2 0 5    #UTIL: 222
1 5 3    #UTIL: 72
1 5 0 3    #UTIL: 252
1 5 0 3 0 1    #UTIL: 220
1 5 0 3 0 1 4    #UTIL: 310
1 5 0 3 0 1 4 5    #UTIL: 202
1 5 0 3 0 1 5    #UTIL: 148
1 5 0 3 0 1 5 4    #UTIL: 79
1 5 0 3 0 4    #UTIL: 270
1 5 0 3 0 4 5    #UTIL: 178
1 5 0 3 0 5    #UTIL: 216
1 5 0 3 0 5 4    #UTIL: 67
1 5 0 4    #UTIL: 247
1 5 0 4 5    #UTIL: 196
1 5 0 5    #UTIL: 238
1 5 0 5 4    #UTIL: 43
1 0 5    #UTIL: 426
2    #UTIL: 574
2 1    #UTIL: 73
2 1 0 4    #UTIL: 54
2 0 1    #UTIL: 868
2 0 1 0 1    #UTIL: 832
2 0 1 0 1 2    #UTIL: 977
2 0 1 0 1 2 5    #UTIL: 507
2 0 1 0 1 5    #UTIL: 442
2 0 1 2    #UTIL: 612
2 0 1 2 0 1    #UTIL: 102
2 0 1 2 0 1 2    #UTIL: 117
2 0 1 2 0 1 2 5    #UTIL: 123
2 0 1 2 0 1 5    #UTIL: 108
2 0 1 2 0 2    #UTIL: 93
2 0 1 2 0 2 5    #UTIL: 99
2 0 1 2 5    #UTIL: 325
2 0 1 2 0 5    #UTIL: 84
2 0 1 0 2    #UTIL: 925
2 0 1 0 2 5    #UTIL: 527
2 0 1 4    #UTIL: 645
2 0 1 4 0 1    #UTIL: 369
2 0 1 4 0 1 2    #UTIL: 414
2 0 1 4 0 1 2 5    #UTIL: 432
2 0 1 4 0 1 5    #UTIL: 387
2 0 1 4 2    #UTIL: 105
2 0 1 4 2 0 1    #UTIL: 129
2 0 1 4 2 0 1 2    #UTIL: 144
2 0 1 4 2 0 1 2 5    #UTIL: 150
2 0 1 4 2 0 1 5    #UTIL: 135
2 0 1 4 2 0 2    #UTIL: 120
2 0 1 4 2 0 2 5    #UTIL: 126
2 0 1 4 2 0 5    #UTIL: 111
2 0 1 4 0 2    #UTIL: 494
2 0 1 4 0 2 5    #UTIL: 520
2 0 1 4 5    #UTIL: 166
2 0 1 4 0 5    #UTIL: 455
2 0 1 5    #UTIL: 754
2 0 1 5 0 1    #UTIL: 464
2 0 1 5 0 1 2    #UTIL: 544
2 0 1 5 0 2    #UTIL: 480
2 0 1 0 5    #UTIL: 442
2 0 2    #UTIL: 495
2 0 2 0 1    #UTIL: 60
2 0 2 0 1 2    #UTIL: 75
2 0 2 0 1 2 5    #UTIL: 81
2 0 2 0 1 5    #UTIL: 66
2 0 2 0 2    #UTIL: 51
2 0 2 0 2 5    #UTIL: 57
2 0 2 5    #UTIL: 289
2 0 2 0 5    #UTIL: 42
2 3    #UTIL: 225
2 3 0 1    #UTIL: 153
2 3 0 1 4    #UTIL: 234
2 3 0 1 4 5    #UTIL: 143
2 3 0 1 5    #UTIL: 98
2 3 0 1 5 4    #UTIL: 42
2 3 0 4    #UTIL: 198
2 3 0 4 5    #UTIL: 123
2 3 0 5    #UTIL: 150
2 0 4    #UTIL: 454
2 0 4 0 1    #UTIL: 243
2 0 4 0 1 2    #UTIL: 288
2 0 4 0 1 2 5    #UTIL: 306
2 0 4 0 1 5    #UTIL: 261
2 0 4 2    #UTIL: 63
2 0 4 2 0 1    #UTIL: 87
2 0 4 2 0 1 2    #UTIL: 102
2 0 4 2 0 1 2 5    #UTIL: 108
2 0 4 2 0 1 5    #UTIL: 93
2 0 4 2 0 2    #UTIL: 78
2 0 4 2 0 2 5    #UTIL: 84
2 0 4 2 0 5    #UTIL: 69
2 0 4 0 2    #UTIL: 312
2 0 4 0 2 5    #UTIL: 338
2 0 4 5    #UTIL: 134
2 0 4 0 5    #UTIL: 273
2 5    #UTIL: 397
2 5 0 1    #UTIL: 764
2 5 0 1 0 1    #UTIL: 804
2 5 0 1 0 1 2    #UTIL: 934
2 5 0 1 0 1 2 5    #UTIL: 410
2 5 0 1 0 1 5    #UTIL: 360
2 5 0 1 2    #UTIL: 611
2 5 0 1 2 0 1    #UTIL: 108
2 5 0 1 2 0 1 2    #UTIL: 123
2 5 0 1 2 0 1 2 5    #UTIL: 129
2 5 0 1 2 0 1 5    #UTIL: 114
2 5 0 1 2 0 2    #UTIL: 99
2 5 0 1 2 0 2 5    #UTIL: 105
2 5 0 1 2 5    #UTIL: 270
2 5 0 1 2 0 5    #UTIL: 90
2 5 0 1 0 2    #UTIL: 914
2 5 0 1 0 2 5    #UTIL: 462
2 5 0 1 4    #UTIL: 350
2 5 0 1 4 0 1    #UTIL: 258
2 5 0 1 4 0 1 2    #UTIL: 288
2 5 0 1 4 0 1 2 5    #UTIL: 300
2 5 0 1 4 0 1 5    #UTIL: 270
2 5 0 1 4 2    #UTIL: 111
2 5 0 1 4 2 0 1    #UTIL: 135
2 5 0 1 4 2 0 1 2    #UTIL: 150
2 5 0 1 4 2 0 1 2 5    #UTIL: 156
2 5 0 1 4 2 0 1 5    #UTIL: 141
2 5 0 1 4 2 0 2    #UTIL: 126
2 5 0 1 4 2 0 2 5    #UTIL: 132
2 5 0 1 4 2 0 5    #UTIL: 117
2 5 0 1 4 0 2    #UTIL: 400
2 5 0 1 4 0 2 5    #UTIL: 420
2 5 0 1 4 0 5    #UTIL: 370
2 5 0 1 5    #UTIL: 668
2 5 0 1 5 0 1    #UTIL: 512
2 5 0 1 5 0 1 2    #UTIL: 592
2 5 0 1 5 0 2    #UTIL: 528
2 5 0 1 0 5    #UTIL: 392
2 5 0 2    #UTIL: 526
2 5 0 2 0 1    #UTIL: 66
2 5 0 2 0 1 2    #UTIL: 81
2 5 0 2 0 1 2 5    #UTIL: 87
2 5 0 2 0 1 5    #UTIL: 72
2 5 0 2 0 2    #UTIL: 57
2 5 0 2 0 2 5    #UTIL: 63
2 5 0 2 5    #UTIL: 266
2 5 0 2 0 5    #UTIL: 48
2 5 0 4    #UTIL: 210
2 5 0 4 0 1    #UTIL: 174
2 5 0 4 0 1 2    #UTIL: 204
2 5 0 4 0 1 2 5    #UTIL: 216
2 5 0 4 0 1 5    #UTIL: 186
2 5 0 4 2    #UTIL: 69
2 5 0 4 2 0 1    #UTIL: 93
2 5 0 4 2 0 1 2    #UTIL: 108
2 5 0 4 2 0 1 2 5    #UTIL: 114
2 5 0 4 2 0 1 5    #UTIL: 99
2 5 0 4 2 0 2    #UTIL: 84
2 5 0 4 2 0 2 5    #UTIL: 90
2 5 0 4 2 0 5    #UTIL: 75
2 5 0 4 0 2    #UTIL: 260
2 5 0 4 0 2 5    #UTIL: 280
2 5 0 4 0 5    #UTIL: 230
2 5 0 5    #UTIL: 452
2 5 0 5 0 1    #UTIL: 320
2 5 0 5 0 1 2    #UTIL: 400
2 5 0 5 0 2    #UTIL: 336
2 0 5    #UTIL: 514
2 0 5 0 1    #UTIL: 272
2 0 5 0 1 2    #UTIL: 352
2 0 5 0 2    #UTIL: 288
3    #UTIL: 343
3 0 1    #UTIL: 431
3 0 1 3    #UTIL: 80
3 0 1 4    #UTIL: 635
3 0 1 4 3    #UTIL: 116
3 0 1 4 5    #UTIL: 520
3 0 1 4 5 3    #UTIL: 124
3 0 1 4 5 0 5    #UTIL: 102
3 0 1 4 0 5    #UTIL: 96
3 0 1 0 4    #UTIL: 48
3 0 1 5    #UTIL: 340
3 0 1 5 3    #UTIL: 88
3 0 1 5 4    #UTIL: 49
3 0 1 5 0 5    #UTIL: 75
3 0 1 0 5    #UTIL: 69
3 0 2    #UTIL: 252
3 0 2 1    #UTIL: 69
3 0 2 1 0 4    #UTIL: 78
3 0 2 3    #UTIL: 88
3 0 2 0 4    #UTIL: 63
3 0 3    #UTIL: 80
3 0 4    #UTIL: 424
3 0 4 3    #UTIL: 68
3 0 4 5    #UTIL: 328
3 0 4 5 3    #UTIL: 76
3 0 4 5 0 5    #UTIL: 66
3 0 4 0 5    #UTIL: 60
3 5    #UTIL: 48
3 5 0 2    #UTIL: 78
3 0 5    #UTIL: 215
3 0 5 3    #UTIL: 40
3 6    #UTIL: 171
3 6 0 1    #UTIL: 96
3 6 0 1 4    #UTIL: 81
3 6 0 1 4 5    #UTIL: 87
3 6 0 1 0 4    #UTIL: 51
3 6 0 1 5    #UTIL: 60
3 6 0 2    #UTIL: 266
3 6 0 2 1    #UTIL: 72
3 6 0 2 1 0 4    #UTIL: 81
3 6 0 2 3    #UTIL: 92
3 6 0 2 0 4    #UTIL: 66
3 6 0 3    #UTIL: 52
3 6 0 4    #UTIL: 81
3 6 0 4 5    #UTIL: 51
3 6 5    #UTIL: 51
3 6 5 0 2    #UTIL: 81
4    #UTIL: 422
4 0 1    #UTIL: 165
4 0 1 2    #UTIL: 198
4 0 1 2 5    #UTIL: 216
4 0 1 5    #UTIL: 171
4 2 0 1    #UTIL: 57
4 2 0 1 2    #UTIL: 72
4 2 0 1 2 5    #UTIL: 78
4 2 0 1 5    #UTIL: 63
4 2 0 2    #UTIL: 48
4 2 0 2 5    #UTIL: 54
4 0 2    #UTIL: 214
4 0 2 1 0 6    #UTIL: 40
4 0 2 5    #UTIL: 208
4 3    #UTIL: 52
4 5    #UTIL: 260
4 5 3    #UTIL: 60
4 5 0 5    #UTIL: 54
4 0 5    #UTIL: 191
5    #UTIL: 327
5 0 1    #UTIL: 680
5 0 1 0 1    #UTIL: 700
5 0 1 0 1 2    #UTIL: 674
5 0 1 0 1 2 5    #UTIL: 310
5 0 1 0 1 4    #UTIL: 273
5 0 1 0 1 4 5    #UTIL: 214
5 0 1 0 1 5    #UTIL: 393
5 0 1 0 1 5 4    #UTIL: 49
5 0 1 2    #UTIL: 559
5 0 1 2 0 1    #UTIL: 282
5 0 1 2 0 1 2    #UTIL: 93
5 0 1 2 0 1 2 5    #UTIL: 99
5 0 1 2 0 1 4    #UTIL: 312
5 0 1 2 0 1 4 5    #UTIL: 230
5 0 1 2 0 1 5    #UTIL: 242
5 0 1 2 0 1 5 4    #UTIL: 42
5 0 1 2 0 2    #UTIL: 69
5 0 1 2 0 2 5    #UTIL: 75
5 0 1 2 3    #UTIL: 273
5 0 1 2 3 0 1    #UTIL: 225
5 0 1 2 3 0 1 4    #UTIL: 306
5 0 1 2 3 0 1 4 5    #UTIL: 183
5 0 1 2 3 0 1 5    #UTIL: 138
5 0 1 2 3 0 1 5 4    #UTIL: 58
5 0 1 2 3 0 4    #UTIL: 270
5 0 1 2 3 0 4 5    #UTIL: 163
5 0 1 2 3 0 5    #UTIL: 222
5 0 1 2 3 0 5 4    #UTIL: 50
5 0 1 2 0 4    #UTIL: 264
5 0 1 2 0 4 5    #UTIL: 198
5 0 1 2 5    #UTIL: 170
5 0 1 2 0 5    #UTIL: 258
5 0 1 0 2    #UTIL: 614
5 0 1 0 2 5    #UTIL: 322
5 0 1 3    #UTIL: 257
5 0 1 3 0 1    #UTIL: 200
5 0 1 3 0 1 4    #UTIL: 290
5 0 1 3 0 1 4 5    #UTIL: 190
5 0 1 3 0 1 5    #UTIL: 136
5 0 1 3 0 1 5 4    #UTIL: 73
5 0 1 3 0 4    #UTIL: 250
5 0 1 3 0 4 5    #UTIL: 166
5 0 1 3 0 5    #UTIL: 196
5 0 1 3 0 5 4    #UTIL: 61
5 0 1 4    #UTIL: 497
5 0 1 4 0 1    #UTIL: 198
5 0 1 4 0 1 2    #UTIL: 228
5 0 1 4 0 1 2 5    #UTIL: 240
5 0 1 4 0 1 5    #UTIL: 210
5 0 1 4 2    #UTIL: 81
5 0 1 4 2 0 1    #UTIL: 105
5 0 1 4 2 0 1 2    #UTIL: 120
5 0 1 4 2 0 1 2 5    #UTIL: 126
5 0 1 4 2 0 1 5    #UTIL: 111
5 0 1 4 2 0 2    #UTIL: 96
5 0 1 4 2 0 2 5    #UTIL: 102
5 0 1 4 2 0 5    #UTIL: 87
5 0 1 4 0 2    #UTIL: 300
5 0 1 4 0 2 5    #UTIL: 320
5 0 1 4 5    #UTIL: 196
5 0 1 4 0 5    #UTIL: 270
5 0 1 0 4    #UTIL: 260
5 0 1 0 4 5    #UTIL: 178
5 0 1 5    #UTIL: 523
5 0 1 5 0 1    #UTIL: 352
5 0 1 5 0 1 2    #UTIL: 432
5 0 1 5 0 2    #UTIL: 368
5 0 1 5 4    #UTIL: 43
5 0 1 0 5    #UTIL: 401
5 0 2    #UTIL: 621
5 0 2 1    #UTIL: 60
5 0 2 1 0 4    #UTIL: 69
5 0 2 0 1    #UTIL: 216
5 0 2 0 1 2    #UTIL: 51
5 0 2 0 1 2 5    #UTIL: 57
5 0 2 0 1 4    #UTIL: 288
5 0 2 0 1 4 5    #UTIL: 214
5 0 2 0 1 5    #UTIL: 184
5 0 2 3    #UTIL: 323
5 0 2 3 0 1    #UTIL: 207
5 0 2 3 0 1 4    #UTIL: 288
5 0 2 3 0 1 4 5    #UTIL: 173
5 0 2 3 0 1 5    #UTIL: 128
5 0 2 3 0 1 5 4    #UTIL: 54
5 0 2 3 0 4    #UTIL: 252
5 0 2 3 0 4 5    #UTIL: 153
5 0 2 3 0 5    #UTIL: 204
5 0 2 3 0 5 4    #UTIL: 46
5 0 2 0 4    #UTIL: 294
5 0 2 0 4 5    #UTIL: 182
5 0 2 5    #UTIL: 126
5 0 2 0 5    #UTIL: 192
5 0 3    #UTIL: 432
5 0 3 0 1    #UTIL: 234
5 0 3 0 1 4    #UTIL: 270
5 0 3 0 1 4 5    #UTIL: 178
5 0 3 0 1 0 4    #UTIL: 63
5 0 3 0 1 5    #UTIL: 124
5 0 3 0 1 5 4    #UTIL: 67
5 0 3 0 2    #UTIL: 322
5 0 3 0 2 1    #UTIL: 84
5 0 3 0 2 1 0 4    #UTIL: 93
5 0 3 0 2 3    #UTIL: 108
5 0 3 0 2 0 4    #UTIL: 78
5 0 3 0 3    #UTIL: 68
5 0 3 0 4    #UTIL: 278
5 0 3 0 4 5    #UTIL: 154
5 0 3 5    #UTIL: 63
5 0 3 5 0 2    #UTIL: 93
5 0 3 0 5    #UTIL: 176
5 0 3 0 5 4    #UTIL: 55
5 0 3 6    #UTIL: 238
5 0 3 6 0 1    #UTIL: 57
5 0 3 6 0 1 0 4    #UTIL: 66
5 0 3 6 0 2    #UTIL: 336
5 0 3 6 0 2 1    #UTIL: 87
5 0 3 6 0 2 1 0 4    #UTIL: 96
5 0 3 6 0 2 3    #UTIL: 112
5 0 3 6 0 2 0 4    #UTIL: 81
5 0 3 6 0 3    #UTIL: 72
5 0 3 6 0 4    #UTIL: 51
5 0 3 6 5    #UTIL: 66
5 0 3 6 5 0 2    #UTIL: 96
5 0 4    #UTIL: 329
5 0 4 0 1    #UTIL: 114
5 0 4 0 1 2    #UTIL: 144
5 0 4 0 1 2 5    #UTIL: 156
5 0 4 0 1 5    #UTIL: 126
5 0 4 2 0 1    #UTIL: 63
5 0 4 2 0 1 2    #UTIL: 78
5 0 4 2 0 1 2 5    #UTIL: 84
5 0 4 2 0 1 5    #UTIL: 69
5 0 4 2 0 2    #UTIL: 54
5 0 4 2 0 2 5    #UTIL: 60
5 0 4 2 0 5    #UTIL: 45
5 0 4 0 2    #UTIL: 160
5 0 4 0 2 5    #UTIL: 180
5 0 4 5    #UTIL: 160
